Company,Date,Hours (5.4),Context,Money (945),Status,invoice,Billed Date,23975,0,,,
Origin,03/18/25,0.9,,157.5,Paid,001-1022,4/1/2025,,,,,
Origin,03/18/25,1,,175,Paid,001-1022,4/1/2025,,,,,
Origin,3/19/25,3.8,,665,Paid,001-1022,4/1/2025,,,,,
Origin,03/20/25,3.2,,560,Paid,001-1022,4/1/2025,,,,,
Origin,03/21/25,2.5,,437.5,Paid,001-1022,4/1/2025,,,,,
Origin,03/24/25,4.2,,735,Paid,001-1022,4/1/2025,,,,,
Origin,03/25/25,2.6,"AI integration, comply advantage",455,Paid,001-1022,4/1/2025,,,,,
Origin,03/26/25,2.8,"AI integration, comply advantage",490,Paid,001-1022,4/1/2025,,,,,
Origin,03/28/25,3.5,,612.5,Paid,001-1022,4/1/2025,,,,,
Origin,03/28/25,1.1,,192.5,Paid,001-1022,4/1/2025,,,,,
Origin,03/31/25,3.9,,682.5,Paid,001-1022,4/1/2025,,,,,
Origin,04/01/25,0.2,,35,Paid,001-1023,4/17/25,3710,,,,
Origin,04/02/25,1.7,,297.5,Paid,001-1023,4/17/25,,,,,
Origin,04/06/25,2.2,,385,Paid,001-1023,4/17/25,,,,,
Origin,04/07/25,1.5,,262.5,Paid,001-1023,4/17/25,,,,,
Origin,04/08/25,6.8,a cocophany of rater conditions,1190,Paid,001-1023,4/17/25,,,,,
Origin,04/09/25,2.5,,437.5,Paid,001-1023,4/17/25,,,,,
Origin,04/10/25,1.4,,245,Paid,001-1023,4/17/25,,,,,
Origin,04/11/25,4.9,,857.5,Paid,001-1023,4/17/25,,,,,
Origin,04/15/25,0.5,,87.5,Paid,001-1024,5/9/25,1540,,,,
Origin,04/16/25,2.6,,455,Paid,001-1024,5/9/25,,,,,
Origin,04/17/25,0.9,,157.5,Paid,001-1024,5/9/25,,,,,
Origin,04/18/25,0.3,,52.5,Paid,001-1024,5/9/25,,,,,
Origin,04/23/25,0.8,,140,Paid,001-1024,5/9/25,,,,,
Origin,04/25/25,0.4,,70,Paid,001-1024,5/9/25,,,,,
Origin,04/25/25,0.9,,157.5,Paid,001-1024,5/9/25,,,,,
Origin,04/28/25,1,,175,Paid,001-1024,5/9/25,,,,,
Origin,04/29/25,1,b,175,Paid,001-1024,5/9/25,,,,,
Origin,04/30/25,0.4,,70,Paid,001-1024,5/9/25,,,,,
Origin,05/01/25,1,,175,Billed,001-1025,5/21/25,875,,,,
Origin,05/02/25,0.2,,35,Billed,001-1025,5/21/25,,,,,
Origin,05/05/25,1,,175,Billed,001-1025,5/21/25,,,,,
Origin,05/07/25,0.3,,52.5,Billed,001-1025,5/21/25,,,,,
Origin,05/08/25,0.1,,17.5,Billed,001-1025,5/21/25,,,,,
Origin,05/09/25,0.3,,52.5,Billed,001-1025,5/21/25,,,,,
Origin,05/12/25,0.6,,105,Billed,001-1025,5/21/25,,,,,
Origin,05/13/25,0.3,,52.5,Billed,001-1025,5/21/25,,,,,
Origin,05/15/25,0.8,,140,Billed,001-1025,5/21/25,,,,,
Origin,05/16/25,0.4,,70,Billed,001-1025,5/21/25,,,,,
Origin,05/22/25,0.5,,87.5,Not Billed,001-1025,,,,,,
Origin,06/05/25,0.5,,87.5,Not Billed,001-1025,,,,,,
Origin,06/06/25,0.2,,35,Not Billed,001-1025,,,,,,
Origin,06/26/25,0.9,,157.5,Not Billed,001-1025,,,,,,
Origin,07/07/25,0.3,,52.5,Not Billed,001-1025,,,,,,
Origin,07/09/25,3,,525,Not Billed,001-1025,,,,,,
